stage,model,gd,tau,gap,graph,pulse_s,amplitude_A_m2,restore_s,end_s,dose,id,peak_mV,time_peak_s,positive_area_mV_s,positive_centroid_s,final_mean_mV,final_max_departure_mV,target_ever_fraction,target_final_fraction,first_target_crossing_s,final_dv_max_V_s,final_gate_derivative_max_s_inv,net_cut_charge_effective_C_m2,positive_cut_charge_effective_C_m2,junction_sum_max_A_m2,nfev,method,rtol,atol,gate_min,gate_max,amplitude_factor,numerical_correction,strategy,budget_edges,added_weight
repair,excitable,4.0,0.0148,1.0,repair_random33_16,0.02,0.11504882812499999,,2.0,,case0445,0.6962505486680787,0.024,0.020380931287728256,0.02617777167245305,-1.0151601781416275e-11,1.6784490464161195e-10,0.0,0.0,,1.652085586389962e-12,7.194912443608814e-09,0.001900535611127991,0.0019504422890715585,1.247557229823239e-15,6541,DOP853,1e-08,1e-10,0.027460933164788807,0.9400106785225937,0.9,,random33,16,14.4
repair,excitable,4.0,0.0148,1.0,interface_10pct,0.02,0.12783203124999998,,2.0,,case0446,1.4885081349062177,0.062,0.16485196194246904,0.09430832224099922,-1.8500478926597452e-10,4.468529712919889e-09,0.0,0.0,,4.50773424663653e-11,7.130844248415258e-08,0.01695303656433892,0.01717563345129668,1.2746748783074403e-15,8353,DOP853,1e-08,1e-10,0.027098579927993822,0.9400106785225937,1.0,,none,0,0.0
repair,excitable,4.0,0.0148,1.0,original,0.02,0.12783203124999998,,2.0,,case0447,61.060320526714435,0.07200000000000001,6.053813042657477,0.11582757574873918,-5.353086030002174e-09,5.696942917410297e-09,1.0,0.0,0.016,5.74876951597858e-11,9.086755348164388e-08,0.0016570760949308765,0.0032448348465428404,1.1796119636642288e-15,8494,DOP853,1e-08,1e-10,0.026998523157584223,0.9400106785225937,1.0,,full,32,28.8
repair,excitable,4.0,0.0148,1.0,repair_directed_4,0.02,0.12783203124999998,,2.0,,case0448,60.29739038597959,0.063,6.084301224002231,0.10767015652112852,-4.964903488335892e-09,5.319834850414651e-09,1.0,0.0,0.015,5.3670945725919905e-11,8.504505544237873e-08,0.0012773163118760438,0.0022672722943374527,1.1947501298801128e-15,8488,DOP853,1e-08,1e-10,0.0270250236135338,0.9400106785225937,1.0,,directed,4,3.6
repair,excitable,4.0,0.0148,1.0,repair_random11_4,0.02,0.12783203124999998,,2.0,,case0449,60.88051473758716,0.074,5.970495164104295,0.11765786701562185,-5.307643213825486e-09,5.642222800084085e-09,1.0,0.0,0.03,5.690011179240728e-11,9.012712687272995e-08,0.0013532130535310644,0.005740359798894752,1.0411172308377738e-15,9268,DOP853,1e-08,1e-10,0.027038302442596446,0.9400106785225937,1.0,,random11,4,3.6
repair,excitable,4.0,0.0148,1.0,repair_random22_4,0.02,0.12783203124999998,,2.0,,case0450,61.95807110954538,0.068,6.016336126616782,0.11290244903820126,-5.1212020735214026e-09,5.356465271333377e-09,1.0,0.0,0.019,5.400917343564848e-11,8.551707675330533e-08,0.001677203392409827,0.005086231219833695,9.521717884368945e-16,9013,DOP853,1e-08,1e-10,0.027027681889596433,0.9400106785225937,1.0,,random22,4,3.6
repair,excitable,4.0,0.0148,1.0,repair_random33_4,0.02,0.12783203124999998,,2.0,,case0451,61.013604790406106,0.067,6.025610264110464,0.11137435221672294,-5.054220930666986e-09,5.323283480684893e-09,1.0,0.0,0.026000000000000002,5.371412949845e-11,8.50343018221622e-08,0.0013825462554204894,0.004636030506740937,1.0483392706202183e-15,8989,DOP853,1e-08,1e-10,0.027026897310937575,0.9400106785225937,1.0,,random33,4,3.6
repair,excitable,4.0,0.0148,1.0,repair_directed_8,0.02,0.12783203124999998,,2.0,,case0452,60.41507077013984,0.068,6.066730585513578,0.11224963785553704,-5.180002260463112e-09,5.557811155743053e-09,1.0,0.0,0.016,5.6064517178072704e-11,8.886799629514996e-08,0.0014498700880596254,0.0027061798188379557,9.878433867685e-16,8506,DOP853,1e-08,1e-10,0.027010493896284907,0.9400106785225937,1.0,,directed,8,7.2
repair,excitable,4.0,0.0148,1.0,repair_random11_8,0.02,0.12783203124999998,,2.0,,case0453,60.264241991050305,0.073,5.976177404807814,0.11588857186897503,-5.21341997350433e-09,5.56506923876654e-09,1.0,0.0,0.03,5.6176873049207376e-11,8.915380100837922e-08,0.001595076214490728,0.0067391434076707725,1.0453403008654771e-15,9241,DOP853,1e-08,1e-10,0.02703666444822328,0.9400106785225937,1.0,,random11,8,7.2
repair,excitable,4.0,0.0148,1.0,repair_random22_8,0.02,0.12783203124999998,,2.0,,case0454,61.93728308173961,0.064,6.04637232111246,0.10898370497354214,-4.958158883461294e-09,5.164070560059741e-09,1.0,0.0,0.019,5.2113684461535525e-11,8.240855775554223e-08,0.0015738222038798493,0.004706906455498311,8.63226348776051e-16,8761,DOP853,1e-08,1e-10,0.027032294380250184,0.9400106785225937,1.0,,random22,8,7.2
repair,excitable,4.0,0.0148,1.0,repair_random33_8,0.02,0.12783203124999998,,2.0,,case0455,61.53771214898495,0.062,6.074009312120916,0.10677934012705488,-4.890601812412854e-09,5.119099588668519e-09,1.0,0.0,0.02,5.175045504970943e-11,8.157063913216689e-08,0.0013846100770851014,0.0037114243685175603,1.2112435620464934e-15,8530,DOP853,1e-08,1e-10,0.027030684764729276,0.9400106785225937,1.0,,random33,8,7.2
repair,excitable,4.0,0.0148,1.0,repair_directed_16,0.02,0.12783203124999998,,2.0,,case0456,60.6181306637032,0.07200000000000001,6.052826818254112,0.11585290501476991,-5.354175436345088e-09,5.737306463249325e-09,1.0,0.0,0.016,5.7873681975212365e-11,9.172297810167152e-08,0.0016062958075540195,0.003123347531384679,1.048650362043594e-15,8626,DOP853,1e-08,1e-10,0.026998899183907632,0.9400106785225937,1.0,,directed,16,14.4
repair,excitable,4.0,0.0148,1.0,repair_random11_16,0.02,0.12783203124999998,,2.0,,case0457,60.88725137533118,0.064,6.038392474527284,0.10875582432372308,-4.9278012226317e-09,5.218200871404122e-09,1.0,0.0,0.027,5.276184220429081e-11,8.340350965418963e-08,0.0014872461413016987,0.005654653804463547,1.1950610238521845e-15,8911,DOP853,1e-08,1e-10,0.027031101241718418,0.9400106785225937,1.0,,random11,16,14.4
repair,excitable,4.0,0.0148,1.0,repair_random22_16,0.02,0.12783203124999998,,2.0,,case0458,61.60339541322857,0.063,6.066433650828014,0.10799570375182627,-4.937973641094828e-09,5.186247264976629e-09,1.0,0.0,0.021,5.232581945860404e-11,8.27997714836215e-08,0.001581177731113835,0.0044093926468027,1.090000582848048e-15,8581,DOP853,1e-08,1e-10,0.027029999282135123,0.9400106785225937,1.0,,random22,16,14.4
repair,excitable,4.0,0.0148,1.0,repair_random33_16,0.02,0.12783203124999998,,2.0,,case0459,61.676149206791045,0.062,6.080105928596321,0.10773151629371891,-4.948708109964173e-09,5.1787185650908896e-09,1.0,0.0,0.019,5.2241663685975714e-11,8.25899015843845e-08,0.0013472639991486874,0.003479752899803604,1.4147841101989339e-15,8431,DOP853,1e-08,1e-10,0.027025501752386424,0.9400106785225937,1.0,,random33,16,14.4
repair,excitable,4.0,0.0148,1.0,interface_10pct,0.02,0.14061523437499998,,2.0,,case0460,1.4889274341462546,0.061,0.16495876962221945,0.09353075277071805,-1.8365170495471261e-10,4.433717282203986e-09,0.0,0.0,,4.475513926474606e-11,7.074899222025977e-08,0.01696352888022991,0.017186386778251392,1.2344292250811659e-15,8362,DOP853,1e-08,1e-10,0.027100166130491658,0.9400106785225937,1.1,,none,0,0.0
repair,excitable,4.0,0.0148,1.0,original,0.02,0.14061523437499998,,2.0,,case0461,61.19019674881538,0.057,6.102236325949436,0.10250739580905205,-4.729459879282416e-09,5.001478398103387e-09,1.0,0.0,0.014,5.0454768401458905e-11,7.965597959014303e-08,0.0013211824344840023,0.0025743148193608316,1.0061396160665481e-15,8419,DOP853,1e-08,1e-10,0.027037373226685785,0.9400106785225937,1.1,,full,32,28.8
