id,geometry,model,gd,factor,amplitude_A_m2,history,restore_s,pulse_s,end_s,blocks,controls,category,stationary,linearly_stable,max_real_eigen_s_inv,final_dV_max_V_s,final_gate_derivative_max_s_inv,threshold_V,rest_V,target_count,target_high,total_high,target_ever_high,total_ever_high,target_high_fraction,final_mean_V,target_final_mean_V,final_min_V,final_max_V,peak_V,target_peak_V,first_target_recruitment_s,final_max_departure_V,threshold_margin_final_V,junction_sum_sampled_max_A_m2,category_2s,target_high_2s,max_voltage_change_2_to_5s_V,nfev,gate_min,gate_max,solver,numerically_accepted,effective_source,numerical_correction
v0060,geometria_2701,bistable,4.0,1.1,0.09061035156250001,random,0.5,0.02,5.0,[1],[],recrutamento_coletivo,True,True,-80.88391304457068,5.551115123125783e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,109,109,226,109,226,1.0,0.007547151118314446,0.007547151118314447,0.007547151118314431,0.007547151118314455,0.020664495587266327,0.020565974281484378,0.017,0.05851837888072406,0.04356372267162334,2.733924198139448e-15,recrutamento_coletivo,109,2.6020852139652106e-18,80667,0.027555593451845068,0.6440324693017536,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0061,geometria_2701,bistable,4.0,0.0,0.0,interface,0.5,0.02,5.0,[1],"[""no_stimulus""]",repouso,True,True,-68.37145333835768,2.8297676701871666e-15,7.032662740446514e-16,-0.03601657155330891,-0.0509712277624096,109,0,0,0,0,0.0,-0.050971227762409595,-0.05097122776240959,-0.0509712277624096,-0.050971227762409595,-0.050971227762409595,-0.050971227762409595,,6.938893903907228e-18,0.014954656209100685,2.733924198139448e-15,repouso,0,0.0,75003,0.027555593451845068,0.027555593451845068,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0062,geometria_2701,kv,0.0,0.9,0.0741357421875,original,,0.02,5.0,[1],"[""no_additional_current""]",repouso,True,True,-68.3174761163591,5.616167253474913e-15,2.1097988221339546e-15,-0.03601657155330891,-0.051497482804242954,109,0,0,0,0,0.0,-0.05149748280424293,-0.05149748280424294,-0.051497482804242954,-0.051497482804242926,-0.03857538232303204,-0.048308441128629545,,2.7755575615628914e-17,0.015480911250934017,2.0886070650760757e-15,repouso,0,0.0,75220,0.02657217849443939,0.05198137069099222,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0063,geometria_2701,kv,0.0,0.9,0.0741357421875,interface,0.5,0.02,5.0,[1],"[""no_additional_current""]",transiente_sem_persistencia,True,True,-68.31747611635926,5.529431079676073e-15,1.6409546394375202e-15,-0.03601657155330891,-0.051497482804242954,109,0,0,0,1,0.0,-0.05149748280424293,-0.05149748280424294,-0.05149748280424296,-0.051497482804242926,-0.02843624616284996,-0.05031785630301572,,2.7755575615628914e-17,0.015480911250934017,2.0886070650760757e-15,transiente_sem_persistencia,0,0.0,75123,0.02657207379590431,0.08984871182357955,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0064,geometria_2701,bistable,4.0,0.9,0.0741357421875,interface,,0.02,5.0,[1],"[""never_restore""]",memoria_localizada,True,True,-52.17559381179272,4.098284211995207e-15,5.2510548462000647e-14,-0.03601657155330891,-0.0509712277624096,109,0,117,0,117,0.0,-0.019825089436404025,-0.04901409255637882,-0.05091150863350491,0.007547150245024827,0.02066212869009813,-0.037048365536295064,,0.05851837800743443,0.00287806274864838,1.985938392283848e-15,memoria_localizada,0,2.6020852139652106e-18,80812,0.027555593451845068,0.6432682519614674,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0117,historica,cubic,0.0,0.9,0.0741357421875,random,0.5,0.02,5.0,[3],[],transiente_sem_persistencia,True,True,-79.99999999999984,3.608224830031753e-15,0.0,-0.035,-0.05,104,0,0,0,1,0.0,-0.049999999999999975,-0.049999999999999975,-0.04999999999999999,-0.04999999999999996,-0.02855261221206898,-0.042169747362577434,,4.163336342344337e-17,0.014999999999999958,2.706168622523819e-15,transiente_sem_persistencia,0,0.0,75195,,,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0118,historica,cubic,0.0,0.9,0.0741357421875,interface,,0.02,5.0,[3],"[""never_restore""]",transiente_sem_persistencia,True,True,-79.99999999999939,3.4694469519536055e-15,0.0,-0.035,-0.05,104,0,0,0,1,0.0,-0.04999999999999996,-0.04999999999999997,-0.04999999999999997,-0.04999999999999996,-0.022554969164456706,-0.04878560877821611,,4.163336342344337e-17,0.014999999999999958,2.4633073358870665e-15,transiente_sem_persistencia,0,0.0,75172,,,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0124,historica,cubic,0.0,1.0,0.08237304687500001,random,0.5,0.02,5.0,[3],[],transiente_sem_persistencia,True,True,-79.99999999999969,4.302114220422476e-15,0.0,-0.035,-0.05,104,0,0,0,1,0.0,-0.049999999999999975,-0.04999999999999997,-0.04999999999999999,-0.04999999999999996,-0.02554008479377107,-0.04093337097429309,,4.163336342344337e-17,0.014999999999999958,2.706168622523819e-15,transiente_sem_persistencia,0,0.0,75195,,,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0125,historica,cubic,0.0,1.0,0.08237304687500001,interface,,0.02,5.0,[3],"[""never_restore""]",transiente_sem_persistencia,True,True,-79.99999999999952,3.4694469519536055e-15,0.0,-0.035,-0.05,104,0,0,0,1,0.0,-0.049999999999999954,-0.04999999999999996,-0.049999999999999975,-0.04999999999999996,-0.01866746552790519,-0.04860511011309692,,4.163336342344337e-17,0.014999999999999958,2.4633073358870665e-15,transiente_sem_persistencia,0,0.0,75172,,,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
v0131,historica,cubic,0.0,1.1,0.09061035156250001,random,0.5,0.02,5.0,[3],[],transiente_sem_persistencia,True,True,-80.00000000000016,3.608224830031753e-15,0.0,-0.035,-0.05,104,0,0,0,1,0.0,-0.04999999999999998,-0.049999999999999975,-0.04999999999999999,-0.04999999999999996,-0.022466351165253497,-0.03962866561892444,,4.163336342344337e-17,0.014999999999999958,2.706168622523819e-15,transiente_sem_persistencia,0,0.0,75207,,,"{""method"": ""DOP853"", ""rtol"": 1e-12, ""atol"": 1e-14, ""max_step"": 0.001}",True,refinadas,False
